First Name [Required],Last Name [Required],Email Address [Required],Password [Required],Password Hash Function [UPLOAD ONLY],Org Unit Path [Required],New Primary Email [UPLOAD ONLY],Recovery Email,Home Secondary Email,Work Secondary Email,Recovery Phone [MUST BE IN THE E.164 FORMAT],Work Phone,Home Phone,Mobile Phone,Work Address,Home Address,Employee ID,Employee Type,Employee Title,Manager Email,Department,Cost Center,Building ID,Floor Name,Floor Section,Change Password at Next Sign-In,New Status [UPLOAD ONLY],Advanced Protection Program enrollment
Janine,Cook,snickers0@spartaaceap.com,hehehahahoho,,/,,sparta.aceap@gmail.com,,,,,,,,,aceap000,,,,,,,,,False,,False
Valerie,Herman,snickers1@spartaaceap.com,hehehahahoho,,/,,sparta.aceap@gmail.com,,,,,,,,,aceap000,,,,,,,,,False,,False
Jose,Boehle,snickers2@spartaaceap.com,hehehahahoho,,/,,sparta.aceap@gmail.com,,,,,,,,,aceap000,,,,,,,,,False,,False
Pamela,Rubio,snickers3@spartaaceap.com,hehehahahoho,,/,,sparta.aceap@gmail.com,,,,,,,,,aceap000,,,,,,,,,False,,False
Iris,Kurtz,snickers4@spartaaceap.com,hehehahahoho,,/,,sparta.aceap@gmail.com,,,,,,,,,aceap000,,,,,,,,,False,,False
Steven,Johnson,snickers5@spartaaceap.com,hehehahahoho,,/,,sparta.aceap@gmail.com,,,,,,,,,aceap000,,,,,,,,,False,,False
Darryl,Bernal,snickers6@spartaaceap.com,hehehahahoho,,/,,sparta.aceap@gmail.com,,,,,,,,,aceap000,,,,,,,,,False,,False
Sue,Olsen,snickers7@spartaaceap.com,hehehahahoho,,/,,sparta.aceap@gmail.com,,,,,,,,,aceap000,,,,,,,,,False,,False
Robert,Brubaker,snickers8@spartaaceap.com,hehehahahoho,,/,,sparta.aceap@gmail.com,,,,,,,,,aceap000,,,,,,,,,False,,False
Christopher,James,snickers9@spartaaceap.com,hehehahahoho,,/,,sparta.aceap@gmail.com,,,,,,,,,aceap000,,,,,,,,,False,,False
Cheryl,Fraley,snickers10@spartaaceap.com,hehehahahoho,,/,,sparta.aceap@gmail.com,,,,,,,,,aceap000,,,,,,,,,False,,False
David,Monahan,snickers11@spartaaceap.com,hehehahahoho,,/,,sparta.aceap@gmail.com,,,,,,,,,aceap000,,,,,,,,,False,,False
Angel,Daniels,snickers12@spartaaceap.com,hehehahahoho,,/,,sparta.aceap@gmail.com,,,,,,,,,aceap000,,,,,,,,,False,,False
Susan,Hane,snickers13@spartaaceap.com,hehehahahoho,,/,,sparta.aceap@gmail.com,,,,,,,,,aceap000,,,,,,,,,False,,False
Gloria,Muzzy,snickers14@spartaaceap.com,hehehahahoho,,/,,sparta.aceap@gmail.com,,,,,,,,,aceap000,,,,,,,,,False,,False
James,Hunter,snickers15@spartaaceap.com,hehehahahoho,,/,,sparta.aceap@gmail.com,,,,,,,,,aceap000,,,,,,,,,False,,False
